reg,date_de_passage,sursaud_cl_age_corona,nbre_pass_corona,nbre_pass_tot,nbre_hospit_corona,nbre_pass_corona_h,nbre_pass_corona_f,nbre_pass_tot_h,nbre_pass_tot_f,nbre_hospit_corona_h,nbre_hospit_corona_f,nbre_acte_corona,nbre_acte_tot,nbre_acte_corona_h,nbre_acte_corona_f,nbre_acte_tot_h,nbre_acte_tot_f
02,2020-02-24,0,,,,,,,,,,0,105,0,0,31,74
02,2020-02-24,A,,,,,,,,,,0,28,,,,
02,2020-02-24,B,,,,,,,,,,0,28,,,,
02,2020-02-24,C,,,,,,,,,,0,25,,,,
02,2020-02-24,D,,,,,,,,,,0,9,,,,
02,2020-02-24,E,,,,,,,,,,0,15,,,,
02,2020-02-25,0,,,,,,,,,,0,109,0,0,35,74
02,2020-02-25,A,,,,,,,,,,0,25,,,,
02,2020-02-25,B,,,,,,,,,,0,33,,,,
02,2020-02-25,C,,,,,,,,,,0,14,,,,
02,2020-02-25,D,,,,,,,,,,0,15,,,,
02,2020-02-25,E,,,,,,,,,,0,22,,,,
02,2020-02-26,0,,,,,,,,,,0,102,0,0,43,59
02,2020-02-26,A,,,,,,,,,,0,27,,,,
02,2020-02-26,B,,,,,,,,,,0,31,,,,
02,2020-02-26,C,,,,,,,,,,0,13,,,,
02,2020-02-26,D,,,,,,,,,,0,12,,,,
02,2020-02-26,E,,,,,,,,,,0,19,,,,
02,2020-02-27,0,,,,,,,,,,0,146,0,0,57,89
02,2020-02-27,A,,,,,,,,,,0,31,,,,
02,2020-02-27,B,,,,,,,,,,0,57,,,,
02,2020-02-27,C,,,,,,,,,,0,28,,,,
02,2020-02-27,D,,,,,,,,,,0,10,,,,
02,2020-02-27,E,,,,,,,,,,0,20,,,,
02,2020-02-28,0,,,,,,,,,,0,112,0,0,48,64
02,2020-02-28,A,,,,,,,,,,0,24,,,,
02,2020-02-28,B,,,,,,,,,,0,38,,,,
02,2020-02-28,C,,,,,,,,,,0,20,,,,
02,2020-02-28,D,,,,,,,,,,0,9,,,,
02,2020-02-28,E,,,,,,,,,,0,21,,,,
02,2020-02-29,0,,,,,,,,,,0,144,0,0,66,78
02,2020-02-29,A,,,,,,,,,,0,25,,,,
02,2020-02-29,B,,,,,,,,,,0,65,,,,
02,2020-02-29,C,,,,,,,,,,0,28,,,,
02,2020-02-29,D,,,,,,,,,,0,11,,,,
02,2020-02-29,E,,,,,,,,,,0,15,,,,
02,2020-03-01,0,,,,,,,,,,0,114,0,0,42,72
02,2020-03-01,A,,,,,,,,,,0,31,,,,
02,2020-03-01,B,,,,,,,,,,0,38,,,,
02,2020-03-01,C,,,,,,,,,,0,23,,,,
02,2020-03-01,D,,,,,,,,,,0,7,,,,
02,2020-03-01,E,,,,,,,,,,0,15,,,,
02,2020-03-02,0,,,,,,,,,,0,189,0,0,78,111
02,2020-03-02,A,,,,,,,,,,0,30,,,,
02,2020-03-02,B,,,,,,,,,,0,94,,,,
02,2020-03-02,C,,,,,,,,,,0,37,,,,
02,2020-03-02,D,,,,,,,,,,0,11,,,,
02,2020-03-02,E,,,,,,,,,,0,17,,,,
02,2020-03-03,0,,,,,,,,,,0,129,0,0,51,78
02,2020-03-03,A,,,,,,,,,,0,27,,,,
02,2020-03-03,B,,,,,,,,,,0,54,,,,
02,2020-03-03,C,,,,,,,,,,0,24,,,,
02,2020-03-03,D,,,,,,,,,,0,5,,,,
02,2020-03-03,E,,,,,,,,,,0,19,,,,
02,2020-03-04,0,,,,,,,,,,0,153,0,0,57,96
02,2020-03-04,A,,,,,,,,,,0,27,,,,
02,2020-03-04,B,,,,,,,,,,0,50,,,,
02,2020-03-04,C,,,,,,,,,,0,40,,,,
02,2020-03-04,D,,,,,,,,,,0,13,,,,
02,2020-03-04,E,,,,,,,,,,0,23,,,,
02,2020-03-05,0,,,,,,,,,,0,158,0,0,54,104
02,2020-03-05,A,,,,,,,,,,0,29,,,,
02,2020-03-05,B,,,,,,,,,,0,64,,,,
02,2020-03-05,C,,,,,,,,,,0,26,,,,
02,2020-03-05,D,,,,,,,,,,0,14,,,,
02,2020-03-05,E,,,,,,,,,,0,25,,,,
02,2020-03-06,0,,,,,,,,,,0,144,0,0,52,92
02,2020-03-06,A,,,,,,,,,,0,34,,,,
02,2020-03-06,B,,,,,,,,,,0,60,,,,
02,2020-03-06,C,,,,,,,,,,0,18,,,,
02,2020-03-06,D,,,,,,,,,,0,12,,,,
02,2020-03-06,E,,,,,,,,,,0,20,,,,
02,2020-03-07,0,,,,,,,,,,0,133,0,0,53,80
02,2020-03-07,A,,,,,,,,,,0,39,,,,
02,2020-03-07,B,,,,,,,,,,0,40,,,,
02,2020-03-07,C,,,,,,,,,,0,20,,,,
02,2020-03-07,D,,,,,,,,,,0,12,,,,
02,2020-03-07,E,,,,,,,,,,0,22,,,,
02,2020-03-08,0,,,,,,,,,,0,108,0,0,43,65
02,2020-03-08,A,,,,,,,,,,0,31,,,,
02,2020-03-08,B,,,,,,,,,,0,29,,,,
02,2020-03-08,C,,,,,,,,,,0,31,,,,
02,2020-03-08,D,,,,,,,,,,0,5,,,,
02,2020-03-08,E,,,,,,,,,,0,12,,,,
02,2020-03-09,0,,,,,,,,,,0,169,0,0,63,106
02,2020-03-09,A,,,,,,,,,,0,47,,,,
02,2020-03-09,B,,,,,,,,,,0,50,,,,
02,2020-03-09,C,,,,,,,,,,0,39,,,,
02,2020-03-09,D,,,,,,,,,,0,10,,,,
02,2020-03-09,E,,,,,,,,,,0,23,,,,
02,2020-03-10,0,,,,,,,,,,0,158,0,0,67,91
02,2020-03-10,A,,,,,,,,,,0,30,,,,
02,2020-03-10,B,,,,,,,,,,0,49,,,,
02,2020-03-10,C,,,,,,,,,,0,38,,,,
02,2020-03-10,D,,,,,,,,,,0,15,,,,
02,2020-03-10,E,,,,,,,,,,0,26,,,,
02,2020-03-11,0,,,,,,,,,,0,143,0,0,57,86
02,2020-03-11,A,,,,,,,,,,0,41,,,,
02,2020-03-11,B,,,,,,,,,,0,44,,,,
02,2020-03-11,C,,,,,,,,,,0,28,,,,
02,2020-03-11,D,,,,,,,,,,0,6,,,,
02,2020-03-11,E,,,,,,,,,,0,24,,,,
02,2020-03-12,0,,,,,,,,,,0,134,0,0,58,76
02,2020-03-12,A,,,,,,,,,,0,42,,,,
02,2020-03-12,B,,,,,,,,,,0,29,,,,
02,2020-03-12,C,,,,,,,,,,0,27,,,,
02,2020-03-12,D,,,,,,,,,,0,13,,,,
02,2020-03-12,E,,,,,,,,,,0,23,,,,
02,2020-03-13,0,,,,,,,,,,0,146,0,0,51,95
02,2020-03-13,A,,,,,,,,,,0,40,,,,
02,2020-03-13,B,,,,,,,,,,0,51,,,,
02,2020-03-13,C,,,,,,,,,,0,25,,,,
02,2020-03-13,D,,,,,,,,,,0,18,,,,
02,2020-03-13,E,,,,,,,,,,0,12,,,,
02,2020-03-14,0,,,,,,,,,,0,123,0,0,60,63
02,2020-03-14,A,,,,,,,,,,0,42,,,,
02,2020-03-14,B,,,,,,,,,,0,32,,,,
02,2020-03-14,C,,,,,,,,,,0,18,,,,
02,2020-03-14,D,,,,,,,,,,0,7,,,,
02,2020-03-14,E,,,,,,,,,,0,24,,,,
02,2020-03-15,0,,,,,,,,,,0,100,0,0,38,62
02,2020-03-15,A,,,,,,,,,,0,26,,,,
02,2020-03-15,B,,,,,,,,,,0,27,,,,
02,2020-03-15,C,,,,,,,,,,0,22,,,,
02,2020-03-15,D,,,,,,,,,,0,13,,,,
02,2020-03-15,E,,,,,,,,,,0,12,,,,
02,2020-03-16,0,,,,,,,,,,0,148,0,0,62,86
02,2020-03-16,A,,,,,,,,,,0,48,,,,
02,2020-03-16,B,,,,,,,,,,0,29,,,,
02,2020-03-16,C,,,,,,,,,,0,32,,,,
02,2020-03-16,D,,,,,,,,,,0,17,,,,
02,2020-03-16,E,,,,,,,,,,0,22,,,,
02,2020-03-17,0,,,,,,,,,,0,126,0,0,53,73
02,2020-03-17,A,,,,,,,,,,0,36,,,,
02,2020-03-17,B,,,,,,,,,,0,33,,,,
02,2020-03-17,C,,,,,,,,,,0,28,,,,
02,2020-03-17,D,,,,,,,,,,0,12,,,,
02,2020-03-17,E,,,,,,,,,,0,17,,,,
02,2020-03-18,0,,,,,,,,,,0,123,0,0,52,71
02,2020-03-18,A,,,,,,,,,,0,28,,,,
02,2020-03-18,B,,,,,,,,,,0,36,,,,
02,2020-03-18,C,,,,,,,,,,0,26,,,,
02,2020-03-18,D,,,,,,,,,,0,10,,,,
02,2020-03-18,E,,,,,,,,,,0,23,,,,
02,2020-03-19,0,,,,,,,,,,0,115,0,0,43,72
02,2020-03-19,A,,,,,,,,,,0,25,,,,
02,2020-03-19,B,,,,,,,,,,0,33,,,,
02,2020-03-19,C,,,,,,,,,,0,25,,,,
02,2020-03-19,D,,,,,,,,,,0,11,,,,
02,2020-03-19,E,,,,,,,,,,0,21,,,,
02,2020-03-20,0,,,,,,,,,,0,106,0,0,42,64
02,2020-03-20,A,,,,,,,,,,0,18,,,,
02,2020-03-20,B,,,,,,,,,,0,29,,,,
02,2020-03-20,C,,,,,,,,,,0,30,,,,
02,2020-03-20,D,,,,,,,,,,0,9,,,,
02,2020-03-20,E,,,,,,,,,,0,20,,,,
02,2020-03-21,0,,,,,,,,,,,,,,,
02,2020-03-21,A,,,,,,,,,,,,,,,
02,2020-03-21,B,,,,,,,,,,,,,,,
02,2020-03-21,C,,,,,,,,,,,,,,,
02,2020-03-21,D,,,,,,,,,,,,,,,
02,2020-03-21,E,,,,,,,,,,,,,,,
03,2020-02-24,0,0,268,0,0,0,154,114,0,0,,,,,,
03,2020-02-24,A,0,83,0,,,,,,,,,,,,
03,2020-02-24,B,0,120,0,,,,,,,,,,,,
03,2020-02-24,C,0,43,0,,,,,,,,,,,,
03,2020-02-24,D,0,17,0,,,,,,,,,,,,
03,2020-02-24,E,0,5,0,,,,,,,,,,,,
03,2020-02-25,0,0,256,0,0,0,131,125,0,0,,,,,,
03,2020-02-25,A,0,83,0,,,,,,,,,,,,
03,2020-02-25,B,0,114,0,,,,,,,,,,,,
03,2020-02-25,C,0,38,0,,,,,,,,,,,,
03,2020-02-25,D,0,11,0,,,,,,,,,,,,
03,2020-02-25,E,0,10,0,,,,,,,,,,,,
03,2020-02-26,0,0,303,0,0,0,152,151,0,0,,,,,,
03,2020-02-26,A,0,79,0,,,,,,,,,,,,
03,2020-02-26,B,0,149,0,,,,,,,,,,,,
03,2020-02-26,C,0,55,0,,,,,,,,,,,,
03,2020-02-26,D,0,13,0,,,,,,,,,,,,
03,2020-02-26,E,0,7,0,,,,,,,,,,,,
03,2020-02-27,0,0,299,0,0,0,139,160,0,0,,,,,,
03,2020-02-27,A,0,73,0,,,,,,,,,,,,
03,2020-02-27,B,0,147,0,,,,,,,,,,,,
03,2020-02-27,C,0,53,0,,,,,,,,,,,,
03,2020-02-27,D,0,15,0,,,,,,,,,,,,
03,2020-02-27,E,0,11,0,,,,,,,,,,,,
03,2020-02-28,0,0,261,0,0,0,133,128,0,0,,,,,,
03,2020-02-28,A,0,59,0,,,,,,,,,,,,
03,2020-02-28,B,0,126,0,,,,,,,,,,,,
03,2020-02-28,C,0,55,0,,,,,,,,,,,,
03,2020-02-28,D,0,8,0,,,,,,,,,,,,
03,2020-02-28,E,0,13,0,,,,,,,,,,,,
03,2020-02-29,0,0,294,0,0,0,151,143,0,0,,,,,,
03,2020-02-29,A,0,87,0,,,,,,,,,,,,
03,2020-02-29,B,0,136,0,,,,,,,,,,,,
03,2020-02-29,C,0,52,0,,,,,,,,,,,,
03,2020-02-29,D,0,12,0,,,,,,,,,,,,
03,2020-02-29,E,0,7,0,,,,,,,,,,,,
03,2020-03-01,0,0,238,0,0,0,117,121,0,0,,,,,,
03,2020-03-01,A,0,85,0,,,,,,,,,,,,
03,2020-03-01,B,0,96,0,,,,,,,,,,,,
03,2020-03-01,C,0,34,0,,,,,,,,,,,,
03,2020-03-01,D,0,15,0,,,,,,,,,,,,
03,2020-03-01,E,0,8,0,,,,,,,,,,,,
03,2020-03-02,0,0,303,0,0,0,164,139,0,0,,,,,,
03,2020-03-02,A,0,88,0,,,,,,,,,,,,
03,2020-03-02,B,0,132,0,,,,,,,,,,,,
03,2020-03-02,C,0,71,0,,,,,,,,,,,,
03,2020-03-02,D,0,7,0,,,,,,,,,,,,
03,2020-03-02,E,0,5,0,,,,,,,,,,,,
03,2020-03-03,0,0,314,0,0,0,143,171,0,0,,,,,,
03,2020-03-03,A,0,101,0,,,,,,,,,,,,
03,2020-03-03,B,0,141,0,,,,,,,,,,,,
03,2020-03-03,C,0,52,0,,,,,,,,,,,,
03,2020-03-03,D,0,10,0,,,,,,,,,,,,
03,2020-03-03,E,0,10,0,,,,,,,,,,,,
03,2020-03-04,0,0,306,0,0,0,149,157,0,0,,,,,,
03,2020-03-04,A,0,104,0,,,,,,,,,,,,
03,2020-03-04,B,0,120,0,,,,,,,,,,,,
03,2020-03-04,C,0,63,0,,,,,,,,,,,,
03,2020-03-04,D,0,11,0,,,,,,,,,,,,
03,2020-03-04,E,0,8,0,,,,,,,,,,,,
03,2020-03-05,0,0,256,0,0,0,131,125,0,0,,,,,,
03,2020-03-05,A,0,102,0,,,,,,,,,,,,
03,2020-03-05,B,0,102,0,,,,,,,,,,,,
03,2020-03-05,C,0,39,0,,,,,,,,,,,,
03,2020-03-05,D,0,7,0,,,,,,,,,,,,
03,2020-03-05,E,0,6,0,,,,,,,,,,,,
03,2020-03-06,0,0,286,0,0,0,138,148,0,0,,,,,,
03,2020-03-06,A,0,94,0,,,,,,,,,,,,
03,2020-03-06,B,0,115,0,,,,,,,,,,,,
03,2020-03-06,C,0,53,0,,,,,,,,,,,,
03,2020-03-06,D,0,10,0,,,,,,,,,,,,
03,2020-03-06,E,0,14,0,,,,,,,,,,,,
03,2020-03-07,0,1,294,0,0,1,151,143,0,0,,,,,,
03,2020-03-07,A,0,101,0,,,,,,,,,,,,
03,2020-03-07,B,1,123,0,,,,,,,,,,,,
03,2020-03-07,C,0,53,0,,,,,,,,,,,,
03,2020-03-07,D,0,8,0,,,,,,,,,,,,
03,2020-03-07,E,0,9,0,,,,,,,,,,,,
03,2020-03-08,0,0,260,0,0,0,138,122,0,0,,,,,,
03,2020-03-08,A,0,101,0,,,,,,,,,,,,
03,2020-03-08,B,0,115,0,,,,,,,,,,,,
03,2020-03-08,C,0,28,0,,,,,,,,,,,,
03,2020-03-08,D,0,8,0,,,,,,,,,,,,
03,2020-03-08,E,0,8,0,,,,,,,,,,,,
03,2020-03-09,0,0,306,0,0,0,159,147,0,0,,,,,,
03,2020-03-09,A,0,91,0,,,,,,,,,,,,
03,2020-03-09,B,0,137,0,,,,,,,,,,,,
03,2020-03-09,C,0,55,0,,,,,,,,,,,,
03,2020-03-09,D,0,13,0,,,,,,,,,,,,
03,2020-03-09,E,0,10,0,,,,,,,,,,,,
03,2020-03-10,0,0,285,0,0,0,132,153,0,0,,,,,,
03,2020-03-10,A,0,89,0,,,,,,,,,,,,
03,2020-03-10,B,0,130,0,,,,,,,,,,,,
03,2020-03-10,C,0,45,0,,,,,,,,,,,,
03,2020-03-10,D,0,10,0,,,,,,,,,,,,
03,2020-03-10,E,0,11,0,,,,,,,,,,,,
03,2020-03-11,0,0,297,0,0,0,150,147,0,0,,,,,,
03,2020-03-11,A,0,94,0,,,,,,,,,,,,
03,2020-03-11,B,0,137,0,,,,,,,,,,,,
03,2020-03-11,C,0,42,0,,,,,,,,,,,,
03,2020-03-11,D,0,15,0,,,,,,,,,,,,
03,2020-03-11,E,0,9,0,,,,,,,,,,,,
03,2020-03-12,0,0,309,0,0,0,150,159,0,0,,,,,,
03,2020-03-12,A,0,113,0,,,,,,,,,,,,
03,2020-03-12,B,0,129,0,,,,,,,,,,,,
03,2020-03-12,C,0,54,0,,,,,,,,,,,,
03,2020-03-12,D,0,8,0,,,,,,,,,,,,
03,2020-03-12,E,0,5,0,,,,,,,,,,,,
03,2020-03-13,0,0,240,0,0,0,105,135,0,0,,,,,,
03,2020-03-13,A,0,82,0,,,,,,,,,,,,
03,2020-03-13,B,0,96,0,,,,,,,,,,,,
03,2020-03-13,C,0,50,0,,,,,,,,,,,,
03,2020-03-13,D,0,6,0,,,,,,,,,,,,
03,2020-03-13,E,0,6,0,,,,,,,,,,,,
03,2020-03-14,0,0,232,0,0,0,118,114,0,0,,,,,,
03,2020-03-14,A,0,81,0,,,,,,,,,,,,
03,2020-03-14,B,0,97,0,,,,,,,,,,,,
03,2020-03-14,C,0,45,0,,,,,,,,,,,,
03,2020-03-14,D,0,5,0,,,,,,,,,,,,
03,2020-03-14,E,0,4,0,,,,,,,,,,,,
03,2020-03-15,0,0,224,0,0,0,118,106,0,0,,,,,,
03,2020-03-15,A,0,71,0,,,,,,,,,,,,
03,2020-03-15,B,0,100,0,,,,,,,,,,,,
03,2020-03-15,C,0,33,0,,,,,,,,,,,,
03,2020-03-15,D,0,9,0,,,,,,,,,,,,
03,2020-03-15,E,0,11,0,,,,,,,,,,,,
03,2020-03-16,0,0,237,0,0,0,123,114,0,0,,,,,,
03,2020-03-16,A,0,86,0,,,,,,,,,,,,
03,2020-03-16,B,0,95,0,,,,,,,,,,,,
03,2020-03-16,C,0,38,0,,,,,,,,,,,,
03,2020-03-16,D,0,12,0,,,,,,,,,,,,
03,2020-03-16,E,0,6,0,,,,,,,,,,,,
03,2020-03-17,0,1,220,0,0,1,113,107,0,0,,,,,,
03,2020-03-17,A,0,71,0,,,,,,,,,,,,
03,2020-03-17,B,1,100,0,,,,,,,,,,,,
03,2020-03-17,C,0,35,0,,,,,,,,,,,,
03,2020-03-17,D,0,10,0,,,,,,,,,,,,
03,2020-03-17,E,0,4,0,,,,,,,,,,,,
